	エヌイーエル	0
(心の)闇を操る程度の能力	ココロノヤミヲアヤツルテイドノノウリョク	1
(心太)	カッコツケタトコロテン	0
(性的な意味で)	セイテキナイミデ	1
(恋◕ω◕兎)	レント	0
(日ω日)	エルガミオ	1
(書ω人)ψ	カクト	0
(有)CARD	ユウゲンガイシャカード	0
(有)キャロットファーム	キャロットファーム	1
(有)サンデーレーシング	サンデーレーシング	1
(有)チェリーベル	ユウゲンガイシャチェリーベル	0
(有)ツヨシ工業	ツヨシコウギョウ	0
(有)未来検索ブラジル	ユウゲンガイシャミライケンサクブラジル	1
(有)沢村組	ユウゲンガイシャサワムラグミ	1
(有)社台レースホース	シャダイレースホース	1
(本物)	ホンモノ	0
(朱・́ー・`)<はわわ	ハワワゴシュジンサマテキガキチャイマシタ	1
(株)J社	カブシキガイシャジェーシャ	0
(株)そろはむ	カブシキガイシャソロハム	1
(株)ガンダム	カブシキガイシャガンダム	1
(株)キャロットクラブ	キャロットクラブ	1
(株)コブレッティ建設	カブシキガイシャコブレッティケンセツ	0
(株)スペースシャワーネットワーク	カブシキガイシャスペースシャワーネットワーク	1
(株)ツヨシ建設	カブシキガイシャツヨシケンセツ	0
(株)ディップス	カブシキガイシャディップス	1
(株)帝國建設	カブシキガイシャテイコクケンセツ	0
(株)月極	マエカブゲッキョク	0
(株)秋月組	カブシキガイシャアキヅキグミ	0
(株)粉塵王	カブシキガイシャフンジンオウ	0
(極)r18	キワミアールジュウハチ	0
(淫夢)	カッコインム	0
(無言の手刀)	ヤメロミザエル	0
(無言の腹パン)	カノジョハルリデハナイ	0
(爆)	カッコバク	0
(物理)	カッコブツリ	0
(特に淫夢系!)	トクニインムケイ	1
(犬用)風邪薬P	イヌヨウカゼグスリピー	0
(理゜∀゜)アッハー↑	タチバナリカ	1
(男の部分が)最初からクライマックス	オトコノブブンガサイショカラクライマックス	0
(省略しています。全	ショウリャクシテイマスゼン	1
(省略しています。全て読むにはこのリンクをクリック!)	ショウリャクシテイマススベテヨムニハコノリンクヲクリック	1
(秋)候補	アキコウホ	0
(笑)	カッコワライ	0
(笑)(笑)(笑)	ワールドワイドウェブ	1
(笑)bee	ワラビー	0
(結婚したい・・・)	ケッコンシタイ	1
(結婚しよ)	イヤタスカル	0
(罪)	ツミブクロ	1
(腹筋しよ)	フッキンシヨ	0
(臨)	カッコリン	1
(西゚∀゚)アハハハハ八八ノヽノヽノヽノ\	ニシアハハハ	1
(西゚∀゚)アハハハ八八ノヽノヽノヽノ\/\	ニシアハハハ	1
(西゜∀゜)アハハ八八ノヽノヽノヽノ＼/＼	ニシアハハハ	1
(西ﾟ∀ﾟ)ｱﾊﾊハハ八八ﾉヽﾉヽノヽノ＼/＼	ニシアハハハ	0
(赤・ω・飯)	セキハン	1
(迫真)	ハクシン	1
(酒)	サケ	1
(震え声)	フルエゴエ	0
(非)	ヒ	0
(音程を)ご存じないのですか!	オンテイヲゴゾンジナイノデスカ	0
(首)	ヤジュウセンパイ	1
(首の折れる音)	クビノオレルオト	1
(鯖缶)(歌い手)	サバカン	0
(黒笑)	コクショウ	1
(＝ω＝｀)の人	ヒメハヨウジョデカワイイ	0
(＞＜；)	ワカンナイデス	1
(＾,_ゝ＾)	チュウゴクサンモコウ	0
(｀●ｗ●´)「てん」と申す	テントモウス	1
(｀・ω・´)	シャキーン	0
(｀・ω・´)シャキーン	シャキーン	1
(･ω･)	カオモジ	0
(ﾆｯｺﾘ	ニッコリ	0
(ﾟДﾟ)	コッチミンナ	1
(ﾟДﾟ)ホワァ!!	ホワァ	0
(ﾟДﾟ)ﾊｧ?	ハァ	0
(ﾟдﾟ)	コッチミンナ	0
(ﾟ∀ﾟ)	アヒャ	0
(ﾟ∀ﾟ)o彡°おっぱい！おっぱい！	オッパイオッパイ	1
(ﾟ∀ﾟ)o彡゜AMEN†AMEN†	エェイメンエェイメン	0
(ﾟ∀ﾟ)o彡゜えーりん！えーりん！	エーリンエーリン	0
(ﾟ∀ﾟ)o彡゜もれ漏れ！	モレモレ	0
(ﾟ∀ﾟ)o彡ﾟおっぱい!おっぱい!	オッパイオッパイ	1
(ﾟ∀ﾟ)o彡ﾟ入院！入院！はいはい入院！	ニュウインニュウインハイハイニュウイン	1
(ﾟ∀ﾟ)o彡ﾟ神戸！神戸！	コーベッコーベッ	0
(ﾟ∀ﾟ)ﾗｳﾞｨ!!	ラヴィ	0
(ﾟ⊿ﾟ)	アソウタロウ	0
(ﾟェﾟジ)	エジ	0
(￣ε￣)の人	ルウズ	0
)・┳・(	キングジョー	1
*	アスタリスク	0
* Erm, could it be a Spatiotemporal ShockWAVE Syndrome...?	エァムクッドイットビーアスペイショテンポラルショックウェーブシンドローム	0
*(Asterisk)	アスタリスク	0
*(アスタリスク)	アスタリスク	1
****	アスタリスク	0
**P	コメコメピー	0
**chu×chu**	チュチュ	0
*-men	セックスメン	0
*2740mp	ニセンナナヒャクヨンジュウメートルピー	0
*BSD	スタービーエスディー	0
*ChocoLate Bomb!!	チョコレートボム	0
*Feels Seasickness...*	フィールズシーシックネス	0
*Luna	ルナ	0
*RUI*	ルイ	1
*Sami*	サミ	0
*YU*	ユウ	0
*YU*式	ユーシキ	0
*a,st*	アスト	0
*karin*	カリン	1
*maru*	マル	0
*momo*	モモ	0
*nano	ナノ	1
*noa*	ノア	0
*rev:law*	ライト	0
*revlaw*	ライト	1
*snow*	スノウ	1
*spiLa*	スピラ	0
*あいり	アイリ	0
*あおい*	アオイ	1
*いしがなかにある*	イシガナカニアル	0
*いしのなかにいる*	イシノナカニイル	1
*おおっと*	オオット	0
*おみ*	オミ	0
*おみ*（歌い手）	オミ	1
*しぃ*	シィ	0
*たま*	タマ	0
*ちろる。	チロル	0
*ふゆ*	フユ	0
*ほんのなかにいる*	ホンノナカニイル	1
*ゆき*	ユキ	0
*ゆっきん*	ユッキン	0
*よっしぃ*	ヨッシィ	0
*りすく(歌い手)	アスタリスクウタイテ	0
*ハロー、プラネット。	ハロープラネット	1
*ハロー、終末シネカメラ。	ハローシュウマツシネカメラ	0
*優梨*	ユウリ	0
*妖精*	ヨウセイ	0
*染	アスタリスクシミ	0
*菊門*	キクモン	0
*菜乃	ナノ	0
*葵姫*	アオイヒメ	0
*雪雨*	ユキサメ	0
+*みりん	ミリン	0
++cor++	コー	0
+REVERSE	リバース	1
+α/あるふぁきゅん。	アルファキュン	1
+⌒o⌒+	スワコイズゴッド	0
+激しく忍者+	ハゲシクニンジャ	0
+紅澪阿卍..*	クレア	0
+若武者+	ワカムシャ	1
-	ハイフンマイナスダッシュ	0
------	キョク	1
--・ --- --- --・ ・-・・ ・	ツーツートンツーツーツーツーツーツーツーツートントンツートントントングーグル	0
-1	マイナスイチ	0
-270°c	マイナスニヒャクナナジュウド	0
-2Pｻﾝ	マイナスツーピーサン	0
-3Pｻﾝ	マイナスサンピーサン	1
-45	マイナスシコウ	0
-4Pｻﾝ	マイナスヨンピーサン	1
-4℃冷たーい！	マイナスヨンドツメターイ	0
-68億	マイナスシックスハンドレットエイティーンビリオン	0
-LEGNE- 仇なす剣 光の旋律	エンゲルアダナスツルギヒカリノシラベ	0
-MASA Works DESIGN-	マサワークスデザイン	1
-MYTH-The Xenogears Orchestral Album	ミスザゼノギアスオーケストラルアルバム	0
-Mirage-	ミラージュ	0
-OZONE-	オゾン	0
-Tower_of_God-	タワーオブゴッド	1
-Winter Story-	ウィンターストーリー	0
-ish Miku	イッシュミク	0
-itsuka-	イツカ	1
-nim-	ニム	0
-まこと-	マコト	1
-もう、アレにしか見えない-	モウアレニシカミエナイ	0
-ハク-	ハク	0
-來稀-	ライキ	0
-影二つ-	カゲフタツ	1
-検索	マイナスケンサク	1
-皇-	スメラギ	1
-継承-乾坤の血族	ケイショウケンコンノケツゾク	1
-罪と罰と贖いの少女-	ツミトバツトアガナイノショウジョ	1
-魔眼蒐集列車 grace note-	レールツェッペリングレイスノート	1
......あなた、まりちゃんのなんなんですか?	アナタマリチャンノナンナンデスカ	0
......こりゃあ『マリオカート』でよいですね	コリャアマリオカートデヨイデスネ	0
......そう。	ソウ	0
......つっ近づいてぇっ!!!	ツッチカヅイテェッ	1
......ふぅさん	フゥサン	0
......んだよ、意味が分かんねえ	ンダヨイミガワカンネエ	0
......んだよ、意味分かんねえ	ンダヨイミワカンネエ	1
...3人いれば勝てると思ったのか?	サンニンニカテルワケナイダロ	1
...In The Name Of。 ...LOVE?	インザネームオブラブ	0
...〆(・∀・=)	カキカキ	1
...〆(・∀・=)コメント、カキカキ。	コメントカキカキ	1
...いる！	イル	1
...すごい漢だ。	スゴイオトコダ	1
...だっけ?	ヨンダッケ	0
...掲げよう、偽りなき自分を。	ササゲヨウイツワリナキジブンヲ	0
.204	スギヤケンシ	1
.223 remington	フタフタサンレミントン	1
.424kHz	ヨンヒャクニジュウヨンキロヘルツ	0
.44 Magnum	フォーティーフォーマグナム	1
.44マグナム	フォーティーフォーマグナム	1
.52ガロン	テンゴニガロン	0
.52ガロンデコ	テンゴニガロンデコ	1
.59	テンゴク	0
.96ガロン	テンキュウロクガロン	0
.96ガロンデコ	テンキュウロクガロンデコ	1
.RNC	ルアニコナマクラン	0
.cab	カブ	0
.phnでくれ	ファンデクレ	0
.senya	センヤ	1
.つ	エクステンションツ	1
/ / // / /	スラッシュ	1
///	スラッシュスラッシュスラッシュ	0
//////	スラッシュ	1
/=.4.1.+.|-|	フェイス	0
/GM	エンジルノハゲームマスター	0
/Lab	ラボ	0
/hidden	ヒドゥン	0
/hidden(デッドボールp)	スラッシュエイチアイディディイーエヌ	1
/leave/co154954	タイカイユーアールエル	0
/loop	ループ	1
/loop解除	ループカイジョ	1
/si	スラッシュエスァィ	0
/ループ解除	ループカイジョ	0
0	レイ	0
0'37"で後悔	レイフンサンジュウナナビョウデコウカイ	1
0-9	オーナイン	0
0.00006%	レイテンレイレイレイレイロクパーセント	0
0.0004%	レイテンレイレイレイヨンパーセント	0
0.8秒と衝撃	レイテンハチビョウトショウゲキ	1
0.8秒と衝撃。	レイテンハチビョウトショウゲキ	0
000(ミオー)ガンダム	ミオーガンダム	0
000(歌い手)	オレオ	0
000。	オレオ	1
000ガンダム	ミオーガンダム	1
003「(#^ω^)」	フランソワーズ	0
0077の恐怖	ナナジュウナナノキョウフ	1
00:00:00	マルマルジマルマルプンマルマルビョウ	0
0108	オトヤ	0
0112P	カミピー	0
017（実況プレイヤー）	リオ	0
0188の恐怖	レイヒャクハチジュウハチノキョウフ	1
01式軽対戦車誘導弾	マルヒトシキケイタイセンシャユウドウダン	0
01月01日	イチガツツイタチ	1
01月02日	イチガツフツカ	1
01月03日	イチガツミッカ	1
01月04日	イチガツヨッカ	1
01月05日	イチガツイツカ	1
01月06日	イチガツムイカ	1
01月07日	イチガツナノカ	1
01月08日	イチガツヨウカ	1
01月09日	イチガツココノカ	1
01月10日	イチガツトウカ	1
01月11日	イチガツジュウイチニチ	1
01月12日	イチガツジュウニニチ	1
01月13日	イチガツジュウサンニチ	1
01月14日	イチガツジュウヨッカ	1
01月15日	イチガツジュウゴニチ	1
01月16日	イチガツジュウロクニチ	1
01月17日	イチガツジュウシチニチ	1
01月18日	イチガツジュウハチニチ	1
01月19日	イチガツジュウクニチ	1
01月20日	イチガツハツカ	1
01月21日	イチガツニジュウイチニチ	1
01月22日	イチガツニジュウニニチ	1
01月23日	イチガツニジュウサンニチ	1
01月24日	イチガツニジュウヨッカ	1
01月25日	イチガツニジュウゴニチ	1
01月26日	イチガツニジュウロクニチ	1
01月27日	イチガツニジュウロクニチ	1
01月28日	イチガツニジュウハチニチ	1
01月29日	イチガツニジュウクニチ	1
01月30日	イチガツサンジュウニチ	1
01月31日	イチガツサンジュウイチニチ	1
0202動画	オッフオッフドウガ	1
02月01日	ニガツツイタチ	1
02月02日	ニガツフツカ	1
02月03日	ニガツミッカ	1
02月04日	ニガツヨッカ	1
02月05日	ニガツイツカ	1
02月06日	ニガツムイカ	1
02月07日	ニガツナノカ	1
02月08日	ニガツヨウカ	1
02月09日	ニガツココノカ	1
02月10日	ニガツトオカ	1
02月11日	ニガツジュウイチニチ	1
02月12日	ニガツジュウニニチ	1
02月13日	ニガツジュウサンニチ	1
02月14日	ニガツジュウヨッカ	1
02月15日	ニガツジュウゴニチ	1
02月16日	ニガツジュウロクニチ	1
02月17日	ニガツジュウナナニチ	1
02月18日	ニガツジュウハチニチ	1
02月19日	ニガツジュウクニチ	1
02月20日	ニガツハツカ	1
02月21日	ニガツニジュウイチニチ	1
02月22日	ニガツニジュウニニチ	1
02月23日	ニガツニジュウサンニチ	1
02月24日	ニガツニジュウヨッカ	1
02月25日	ニガツニジュウゴニチ	1
02月26日	ニガツニジュウロクニチ	1
02月27日	ニガツニジュウナナニチ	1
02月28日	ニガツニジュウハチニチ	1
02月29日	ニガツニジュウクニチ	1
02月30日	ニガツサンジュウニチ	1
036さん	オサルサン	1
03月01日	サンガツツイタチ	1
03月02日	サンガツフツカ	1
03月03日	サンガツミッカ	1
03月04日	サンガツヨッカ	1
03月05日	サンガツイツカ	1
03月06日	サンガツムイカ	1
03月07日	サンガツナノカ	1
03月08日	サンガツヨウカ	1
03月09日	サンガツココノカ	1
03月10日	サンガツトオカ	1
03月11日	サンガツジュウイチニチ	1
03月12日	サンガツジュウニニチ	1
03月13日	サンガツジュウサンニチ	1
03月14日	サンガツジュウヨッカ	1
03月15日	サンガツジュウゴニチ	1
03月16日	サンガツジュウロクニチ	1
03月17日	サンガツジュウシチニチ	1
03月18日	サンガツジュウハチニチ	1
03月19日	サンガツジュウクニチ	1
03月20日	サンガツハツカ	1
03月21日	サンガツニジュウイチニチ	1
03月22日	サンガツニジュウニニチ	1
03月23日	サンガツニジュウサンニチ	1
03月24日	サンガツニジュウヨッカ	1
03月25日	サンガツニジュウゴニチ	1
03月26日	サンガツニジュウロクニチ	1
03月27日	サンガツニジュウナナニチ	1
03月28日	サンガツニジュウハチニチ	1
03月29日	サンガツニジュウクニチ	1
03月30日	サンガツサンジュウニチ	1
03月31日	サンガツサンジュウイチニチ	1
03月32日	サンガツサンジュウニニチ	1
04	ヨン	0
04 Limited Sazabys	フォーリミテッドサザビーズ	0
04月01日	シガツツイタチ	1
04月02日	シガツフツカ	1
04月03日	シガツミッカ	1
04月04日	シガツヨッカ	1
04月05日	シガツイツカ	1
04月06日	シガツムイカ	1
04月07日	シガツナノカ	1
04月08日	シガツヨウカ	1
04月09日	シガツココノカ	1
04月10日	シガツトオカ	1
04月11日	シガツジュウイチニチ	1
04月12日	シガツジュウニニチ	1
04月13日	シガツジュウサンニチ	1
04月14日	シガツジュウヨッカ	1
04月15日	シガツジュウゴニチ	1
04月16日	シガツジュウロクニチ	1
04月17日	シガツジュウシチニチ	1
04月18日	シガツジュウハチニチ	1
04月19日	シガツジュウクニチ	1
04月20日	シガツハツカ	1
04月21日	シガツニジュウイチニチ	1
04月22日	シガツニジュウニニチ	1
04月23日	シガツニジュウサンニチ	1
04月24日	シガツニジュウヨッカ	1
07-GHOST	セブンゴースト	0
0721	オナニー	0
0721祭	オナニーマツリ	1
0721祭'09	オナニーマツリニセンキュウ	1
0721祭'10	オナニーマツリニセンジュウ	1
0721祭'17	オナニーマツリニセンジュウナナ	1
0721祭'18	オナニーマツリニセンジュウハチ	1
0721祭'20	オナニーマツリニセンニジュウ	1
0721祭'21	オナニーマツリニジュウイチ	1
077の恐怖	ミッキーマウスノキョウフ	0
07th Expansion	セブンスエクスパンション	0
07月01日	シチガツツイタチ	1
07月02日	シチガツフツカ	1
07月03日	シチガツミッカ	1
07月21日	オナガツニーニチ	1
07月23日	シチガツニジュウサンニチ	1
